Date,FIPS,MMWR_week,County,State,Vaccination_Complete_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,state,county,lat,lon,total_population,area_sqmi,population_density_per_sqmi,num_deaths,years_of_potential_life_lost_rate,percent_fair_or_poor_health,average_number_of_physically_unhealthy_days,average_number_of_mentally_unhealthy_days,percent_low_birthweight,percent_smokers,percent_adults_with_obesity,food_environment_index,percent_physically_inactive,percent_with_access_to_exercise_opportunities,percent_excessive_drinking,num_alcohol_impaired_driving_deaths,num_driving_deaths,percent_driving_deaths_with_alcohol_involvement,num_chlamydia_cases,chlamydia_rate,teen_birth_rate,num_uninsured,percent_uninsured,num_primary_care_physicians,primary_care_physicians_rate,num_dentists,dentist_rate,num_mental_health_providers,mental_health_provider_rate,preventable_hospitalization_rate,percent_with_annual_mammogram,percent_vaccinated,high_school_graduation_rate,num_some_college,population,percent_some_college,num_unemployed_CHR,labor_force,percent_unemployed_CHR,percent_children_in_poverty,eightieth_percentile_income,twentieth_percentile_income,income_ratio,num_single_parent_households_CHR,num_households_CHR,percent_single_parent_households_CHR,num_associations,social_association_rate,annual_average_violent_crimes,violent_crime_rate,num_injury_deaths,injury_death_rate,average_daily_pm2_5,presence_of_water_violation,percent_severe_housing_problems,severe_housing_cost_burden,overcrowding,inadequate_facilities,percent_drive_alone_to_work,num_workers_who_drive_alone,percent_long_commute_drives_alone,life_expectancy,num_deaths_2,age_adjusted_death_rate,num_deaths_3,child_mortality_rate,num_deaths_4,infant_mortality_rate,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_adults_with_diabetes,num_hiv_cases,hiv_prevalence_rate,num_food_insecure,percent_food_insecure,num_limited_access,percent_limited_access_to_healthy_foods,num_drug_overdose_deaths,drug_overdose_mortality_rate,num_motor_vehicle_deaths,motor_vehicle_mortality_rate,percent_insufficient_sleep,num_uninsured_2,percent_uninsured_2,num_uninsured_3,percent_uninsured_3,other_primary_care_provider_rate,percent_disconnected_youth,average_grade_performance,average_grade_performance_2,median_household_income,percent_enrolled_in_free_or_reduced_lunch,segregation_index,segregation_index_2,homicide_rate,num_deaths_5,suicide_rate_age_adjusted,num_firearm_fatalities,firearm_fatalities_rate,juvenile_arrest_rate,average_traffic_volume_per_meter_of_major_roadways,num_homeowners,percent_homeowners,num_households_with_severe_cost_burden,percent_severe_housing_cost_burden,population_2,percent_less_than_18_years_of_age,percent_65_and_over,num_black,percent_black,num_american_indian_alaska_native,percent_american_indian_alaska_native,num_asian,percent_asian,num_native_hawaiian_other_pacific_islander,percent_native_hawaiian_other_pacific_islander,num_hispanic,percent_hispanic,num_non_hispanic_white,percent_non_hispanic_white,num_not_proficient_in_english,percent_not_proficient_in_english,percent_female,num_rural,percent_rural,num_housing_units,num_households_CDC,num_below_poverty,num_unemployed_CDC,per_capita_income,num_no_highschool_diploma,num_age_65_and_older,num_age_17_and_younger,num_disabled,num_single_parent_households_CDC,num_minorities,num_limited_english_abilities,num_multi_unit_housing,num_mobile_homes,num_overcrowding,num_households_with_no_vehicle,num_institutionalized_in_group_quarters,percent_below_poverty,percent_unemployed_CDC,percent_no_highschool_diploma,percent_age_65_and_older,percent_age_17_and_younger,percent_disabled,percent_single_parent_households_CDC,percent_minorities,percent_limited_english_abilities,percent_multi_unit_housing,percent_mobile_homes,percent_overcrowding,percent_no_vehicle,percent_institutionalized_in_group_quarters,percentile_rank_below_poverty,percentile_rank_unemployed,percentile_rank_per_capita_income,percentile_rank_no_highschool_diploma,percentile_rank_socioeconomic_theme,percentile_rank_age_65_and_older,percentile_rank_age_17_and_younger,percentile_rank_disabled,percentile_rank_single_parent_households,percentile_rank_household_comp_disability_theme,percentile_rank_minorities,percentile_rank_limited_english_abilities,percentile_rank_minority_status_and_language_theme,percentile_rank_multi_unit_housing,percentile_rank_mobile_homes,percentile_rank_overcrowding,percentile_rank_no_vehicle,percentile_rank_institutionalized_in_group_quarters,percentile_rank_housing_and_transportation,percentile_rank_social_vulnerability
09/30/2021,49057,39,Weber County,UT,47.1,122652,122646.0,57.8,112173,59.7,25450,82.4,97.3,143057.0,55.0,143041.0,67.4,130042.0,69.3,28611.0,92.7,B,7.0,8.0,8.0,8.0,Metro,3.0,4.0,4.0,4.0,Utah,Weber,41.2698315375917,-111.913401026126,241328,576.265129627594,418.779460343117,2496.0,6872.3520102,15.712879282,3.9943666547,4.2000679793,7.4712000895,10.982049039,31.2,7.9,20.2,86.103374907,13.219615007,9.0,90.0,10.0,875.0,347.5,25.956123392,22195.0,10.088819797,110.0,43.69084,203.0,79.18583,582.0,227.02538,1932.0,40.0,44.0,84.288441305,43101,71494,60.286177861,4375.0,124592.0,3.51146141,11.3,110389.0,30090.0,3.668627451,18158.0,70676.0,25.69188975,86,3.4158295898,602.5,247.11815119,992.0,80.012389015,8.0,True,12.275449102,9.2763324072,2.9378742515,0.9044411178,80.653626967,117743.0,22.6,78.270563744,2496.0,341.85093828,142.0,49.659204963,161.0,5.9611966825,11.755171326,12.385701513,7.7,157.0,80.3,29680,12.2,14370.878823,6.2148103334,192.0,25.407310954,159.0,9.2713154247,31.454328394,17587.0,11.783742496,5059.0,6.8200814258,90.88817,5.9479015919,3.079464484,2.9275865627,68106.0,43.23736455,57.739385048,34.865423785,2.9155079952,325.0,27.353638415,197.0,15.889557093,35.96875,136.75072682,59759,72.508099057,7618.0,9.4227367744,256359,28.274412055,11.662161266,3396,1.3247048085,3534,1.3785355693,4133,1.6121922772,876,0.3417083075,47991,18.720232174,194024,75.684489329,5442,2.3846248225,49.676820396,13414.0,5.8009998443,88016,80159,29410,6244,24226.0,14599,26711,70429,26510,7196,55316,6206,7543,2973,2354,4531,3168,12.4,5.3,9.9,11.1,29.2,11.1,9.0,22.9,2.8,8.6,3.4,2.9,5.7,1.3,0.2869,0.2837,0.5024,0.2923,0.3037,0.0538,0.9618,0.1337,0.5963,0.2894,0.6141,0.8297,0.7714,0.8539,0.1391,0.7673,0.4734,0.2798,0.4897,0.4241
09/30/2021,16027,39,Canyon County,ID,34.4,79069,,,79046,47.7,24248,75.3,97.6,91019.0,39.6,,,90984.0,54.9,26126.0,81.1,C,10.0,,11.0,12.0,Metro,2.0,,3.0,4.0,Idaho,Canyon,43.6251329845357,-116.709318149255,202782,587.396830598064,345.221474541385,2215.0,6388.3502209,17.453884201,3.8966212976,3.939976536,6.8706164636,14.129309587,34.9,7.8,24.9,77.60674984,14.852530286,35.0,121.0,28.925619835,951.0,438.9,29.449891366,26581.0,14.567805156,76.0,35.07169,99.0,44.2955,351.0,157.04768,2949.0,40.0,42.0,80.369950925,29292,55063,53.19724679,3087.0,100275.0,3.0785340314,15.2,88464.0,23628.0,3.7440325038,15996.0,61588.0,25.972592063,117,5.3991942741,547.0,263.36632233,646.0,60.799027216,10.7,True,15.896061351,12.215779033,4.087558633,0.9381282109,78.158649394,89619.0,36.6,78.944664264,2215.0,324.26430559,110.0,43.974318998,127.0,5.7937956204,12.468725052,12.453552634,9.8,61.0,36.7,23870,11.5,15214.98561,8.0535380075,61.0,9.3573207996,200.0,13.743097529,31.563467553,24272.0,19.927750411,2578.0,4.0481761224,72.93098,8.8304002492,2.8973770181,2.7928707179,53381.0,59.099885413,66.687577943,24.526606871,2.8173349935,191.0,19.251596083,136.0,12.799795203,,197.82582223,48290,68.16096659,7461.0,11.03812525,223499,28.468583752,13.763819972,1275,0.5704723511,3901,1.7454216797,2398,1.0729354494,755,0.3378091177,57144,25.567899633,156681,70.103669368,7782,3.9735505119,50.458391313,37535.0,19.867882682,71441,67155,37366,7749,18639.0,19503,25413,60768,26675,6633,58146,6582,2050,6067,2742,2880,3289,18.7,8.3,15.9,12.5,30.0,13.3,9.9,28.7,3.5,2.9,8.5,4.1,4.3,1.6,0.6883,0.6937,0.8978,0.6479,0.7848,0.1111,0.9707,0.2926,0.7284,0.5727,0.6883,0.866,0.8313,0.5008,0.3973,0.8848,0.234,0.4021,0.4374,0.7584
09/30/2021,18171,39,Warren County,IN,40.4,3338,3338.0,47.3,3186,49.6,1225,72.0,98.7,3572.0,43.2,3572.0,50.6,3386.0,52.7,1270.0,74.7,A,3.0,3.0,3.0,4.0,Non-metro,7.0,7.0,7.0,8.0,Indiana,Warren,40.3469427886404,-87.3533009018706,8309,364.681278801528,22.7842789937184,102.0,6404.0084702,16.364772653,3.8777894479,4.3635987633,5.3356282272,18.565163112,34.2,8.7,28.0,33.662435355,17.605995298,4.0,12.0,33.333333333,16.0,195.1,20.734597156,474.0,7.258805513,,,1.0,12.10214,,,4713.0,32.0,40.0,95.945945946,1097,1797,61.046188091,136.0,4219.0,3.2235126807,16.1,105700.0,30265.0,3.4924830662,619.0,1801.0,34.369794559,9,10.97427143,,,23.0,55.756224092,10.9,False,7.2180451128,4.3438914027,2.1052631579,1.022556391,81.63051999,3827.0,36.8,79.703054169,102.0,312.00074672,,,,,11.300735775,12.997010158,13.0,,,820,10.0,144.4846791,1.698221428,,,10.0,17.239001517,33.611275289,382.0,8.0100650031,102.0,5.477980666,84.71499,,3.5201734826,3.497494695,60596.0,44.817073171,35.660510885,37.960683398,,,,,,,6.779489502,2838,83.865248227,221.0,6.7729083665,8263,22.449473557,20.222679414,26,0.3146556941,25,0.302553552,49,0.5930049619,6,0.0726128525,162,1.9605470168,7910,95.727943846,17,0.2182845403,50.550647465,6560.0,77.10390221,3679,3327,639,213,28690.0,534,1604,1795,1271,287,272,20,16,229,71,90,87,7.9,5.0,9.0,19.3,21.6,15.5,8.6,3.3,0.3,0.4,6.2,2.1,2.7,1.0,0.0608,0.2502,0.2098,0.2286,0.135,0.6909,0.3696,0.5107,0.5438,0.5813,0.0449,0.2219,0.0869,0.0742,0.2869,0.5791,0.0551,0.1764,0.0302,0.0637
09/30/2021,27007,39,Beltrami County,MN,50.1,23621,23575.0,60.4,21902,62.0,6965,89.6,94.1,28075.0,59.5,27997.0,71.8,25916.0,73.3,7509.0,96.6,D,16.0,16.0,16.0,16.0,Non-metro,8.0,8.0,8.0,8.0,Minnesota,Beltrami,47.9737828491452,-94.937688397054,45644,2504.69288964974,18.2233918531956,537.0,8713.651916,15.219191285,3.7837895766,3.6353720636,6.2885064797,19.420664093,33.8,7.7,23.0,79.802889159,23.516881832,9.0,24.0,37.5,200.0,430.0,33.17888466,3351.0,9.0029821875,37.0,79.54765,34.0,72.57669,167.0,356.4796,5772.0,45.0,45.0,64.59,7178,10628,67.538577343,988.0,24088.0,4.1016273663,23.6,93720.0,20772.0,4.5118428654,5345.0,11463.0,46.6282823,54,11.609657515,118.0,256.92108386,180.0,77.988925573,6.6,False,14.581484768,11.869967194,2.2774327122,0.8281573499,74.993957558,20687.0,17.5,77.963457812,537.0,369.71468733,43.0,92.05146319,47.0,9.8244147157,11.580560632,12.086436173,9.8,23.0,61.7,5860,12.8,2891.4223831,6.5060581952,18.0,12.906371445,43.0,13.360385525,31.259259415,2574.0,9.9340048628,830.0,7.0048105325,119.53807,7.2746628815,2.8265259698,2.9697156453,47073.0,56.720559846,53.559210497,53.377684343,4.3498929616,36.0,16.627489252,20.0,8.6654361747,29.791666667,96.318335489,11602,67.176191303,2305.0,13.707998811,46847,25.122206331,16.112024249,348,0.7428437253,10291,21.967255107,352,0.7513821589,22,0.0469613849,1140,2.4334535829,33721,71.981130062,66,0.1545739847,50.037355647,29816.0,67.089689933,20834,16906,8247,2359,22845.0,2693,6578,11531,5413,2000,12387,39,1857,2644,384,1213,2256,19.1,10.3,9.8,14.4,25.3,12.0,11.8,27.1,0.1,8.9,12.7,2.3,7.2,4.9,0.7093,0.8634,0.6113,0.2837,0.6552,0.2229,0.8386,0.192,0.9004,0.6125,0.6689,0.0974,0.3623,0.8634,0.5667,0.6183,0.6934,0.8064,0.9478,0.7472
09/30/2021,54085,39,Ritchie County,WV,19.1,1823,1823.0,21.7,1779,23.2,850,38.7,59.8,2335.0,24.4,2335.0,27.8,2254.0,29.4,971.0,44.2,B,5.0,5.0,5.0,6.0,Non-metro,5.0,5.0,5.0,6.0,West Virginia,Ritchie,39.1782661309923,-81.0629826882689,10044,451.989654173722,22.2217475715486,178.0,8816.5408682,21.911155533,5.1652264494,5.3110230965,7.6119402985,21.907867167,44.2,7.8,30.4,36.060867069,11.764521015,5.0,11.0,45.454545455,11.0,112.5,40.525739321,677.0,8.9502908514,2.0,20.46245,1.0,10.28701,4.0,41.14803,6946.0,34.0,39.0,85.11,809,2098,38.560533842,230.0,4326.0,5.3166897827,26.0,77174.0,19301.0,3.9984456764,584.0,1937.0,30.149716056,10,10.231225701,7.0,82.508250825,47.0,95.213013796,10.1,False,6.05296343,4.5408163265,0.8827238335,0.8827238335,85.745554036,3655.0,43.4,76.740706663,178.0,430.11691293,,,,,15.387563292,16.157386472,13.2,,,1320,13.2,509.8520458,4.8794338769,,,14.0,20.094155471,37.422789257,612.0,10.763278227,72.0,3.6474164134,72.00905,,3.0319475107,,43717.0,55.517477724,,61.20919729,,12.0,25.004731922,13.0,26.335514454,11.111111111,6.1526086805,3135,79.770992366,213.0,5.7880434783,9721,19.987655591,22.579981483,43,0.4423413229,18,0.1851661352,19,0.1954531427,0,0.0,100,1.028700751,9448,97.19164695,18,0.1904963488,49.984569489,10449.0,100.0,5814,3967,1919,346,20711.0,1306,2023,2070,1883,306,223,8,36,1164,36,254,67,19.4,8.4,18.1,20.1,20.6,18.9,7.7,2.2,0.1,0.6,20.0,0.9,6.4,0.7,0.7259,0.7036,0.7733,0.7431,0.7889,0.7593,0.2607,0.7628,0.3817,0.6189,0.0108,0.0901,0.0236,0.1028,0.7771,0.1359,0.5801,0.0726,0.1388,0.389
09/30/2021,47001,39,Anderson County,TN,47.7,36731,36728.0,55.2,35091,57.8,12429,79.7,97.9,41710.0,54.2,41700.0,62.6,39520.0,65.1,13316.0,85.4,C,11.0,12.0,12.0,12.0,Metro,3.0,4.0,4.0,4.0,Tennessee,Anderson,36.118459489311,-84.1984631021904,75545,337.180113654088,224.049393605405,1369.0,10009.216744,19.095370564,4.3375166808,4.7239859036,8.7621446564,20.925017736,32.9,7.5,25.8,66.260698266,14.32528131,15.0,57.0,26.315789474,294.0,385.5,34.280185224,6218.0,10.280744684,41.0,53.76556,53.0,69.29735,70.0,91.5248,4916.0,48.0,56.0,92.083818393,10238,17800,57.516853933,1288.0,34283.0,3.756964093,21.9,99106.0,21053.0,4.7074526196,5614.0,15668.0,35.830993107,114,14.949447264,251.0,400.72801584,402.0,105.80283825,10.3,False,13.144161774,11.702479339,1.4350945858,0.9784735812,86.903061541,32206.0,35.5,75.534837529,1369.0,475.18990164,39.0,60.976563111,44.0,7.9739035883,13.214126302,14.122396172,10.8,79.0,122.7,9540,12.6,7031.4634535,9.3591868034,107.0,46.791297693,83.0,15.633534874,35.819313299,5697.0,12.759524289,584.0,3.5056125818,128.13472,5.8877364246,,,50672.0,,55.72070898,45.249073274,3.0136934697,66.0,16.47871863,50.0,13.159556997,,131.70824261,20729,68.00183709,3134.0,10.71123415,76482,21.021939803,20.077926832,2986,3.904186606,347,0.4537015245,1181,1.5441541801,51,0.0666823566,2350,3.0726183939,68116,89.061478518,619,0.8633193863,51.340184619,26041.0,34.661715183,34781,30660,12747,2534,26072.0,7776,14330,15906,14145,2786,7669,620,2313,3928,440,2064,1157,17.2,7.4,14.5,19.0,21.1,18.9,9.1,10.2,0.9,6.7,11.3,1.4,6.7,1.5,0.5976,0.5813,0.3674,0.5893,0.5521,0.6686,0.3072,0.7628,0.616,0.7571,0.3674,0.546,0.4464,0.7921,0.5116,0.3279,0.6297,0.3696,0.5511,0.5906
09/30/2021,46009,39,Bon Homme County,SD,44.7,3087,3087.0,51.1,2975,53.5,1045,72.9,84.7,3171.0,45.9,,0.0,,0.0,,0.0,A,3.0,4.0,4.0,4.0,Non-metro,7.0,8.0,8.0,8.0,South Dakota,Bon Homme,42.9884737634784,-97.8845980511659,7001,563.700807610878,12.4197090113676,74.0,5758.3965671,11.834727371,2.9489349123,2.8512727205,4.8523206751,15.315605285,39.7,8.5,27.2,66.803394625,20.431321391,1.0,6.0,16.666666667,9.0,128.9,8.4097859327,474.0,11.069593648,4.0,57.27377,3.0,42.97994,1.0,14.32665,5757.0,59.0,33.0,97.183098592,842,1721,48.925043579,73.0,2878.0,2.5364836692,19.2,95875.0,23231.0,4.1270285395,333.0,1299.0,25.635103926,15,21.47766323,1.0,14.281633819,28.0,80.10069802,7.3,False,7.5848303393,3.3400402414,1.5968063872,3.7924151697,71.89359468,2857.0,25.8,80.769244909,74.0,295.64611902,,,,,9.1238452104,9.2075048423,13.1,5.0,82.9,690,9.9,302.62054667,4.2803471948,,,10.0,20.395260142,27.001436668,362.0,12.155809268,123.0,8.9001447178,157.59312,,3.3115168741,3.279632139,50278.0,33.057090239,,34.627499528,,,,,,16.666666667,3.0149760478,1888,74.447949527,132.0,5.3658536585,6980,20.315186246,20.372492837,88,1.2607449857,596,8.5386819484,18,0.2578796562,3,0.0429799427,242,3.4670487106,5973,85.573065903,29,0.4374057315,40.816618911,7070.0,100.0,2943,2507,601,25,23359.0,567,1456,1261,766,146,865,19,133,151,39,105,1397,10.8,0.9,11.0,20.8,18.0,13.7,5.8,12.4,0.3,4.5,5.1,1.6,4.2,20.0,0.192,0.0073,0.5708,0.375,0.2442,0.8055,0.0713,0.3337,0.1356,0.1063,0.4241,0.2493,0.3018,0.6765,0.2302,0.376,0.2206,0.9834,0.4741,0.205
09/30/2021,26059,39,Hillsdale County,MI,33.2,15119,15118.0,38.5,14585,40.8,6078,66.1,94.4,15440.0,33.9,15439.0,39.3,15017.0,42.0,6215.0,67.5,C,10.0,10.0,11.0,11.0,Non-metro,6.0,6.0,7.0,7.0,Michigan,Hillsdale,41.887790353232,-84.5929473940909,46024,598.149053920548,76.9440320908931,653.0,8106.5512744,14.116446546,3.9126039627,4.2272872352,6.2801932367,18.587417902,38.6,8.2,23.6,60.977124743,19.130534444,10.0,35.0,28.571428571,104.0,226.7,25.822829132,2532.0,7.0918410218,12.0,26.15576,15.0,32.7876,67.0,146.45129,5459.0,42.0,42.0,85.360824742,5513,9770,56.427840328,834.0,20738.0,4.0216028547,20.0,90590.0,21394.0,4.2343647752,2777.0,9957.0,27.889926685,50,10.898232307,84.5,184.08984456,164.0,71.56165866,11.3,False,13.670886076,10.81158589,1.800281294,1.9971870605,80.877940944,18999.0,35.7,77.421271055,653.0,375.08014223,27.0,66.907865391,22.0,6.002728513,11.917376765,13.469656909,12.2,15.0,38.7,5800,12.6,792.52227445,1.6974860231,27.0,19.65036899,57.0,17.729228032,33.219706575,2191.0,8.4340595889,367.0,3.5780442625,52.46016,6.6791044776,2.8417572736,2.5932954859,50388.0,58.466898955,,36.596656339,,40.0,18.048477437,27.0,11.781492584,51.707317073,23.186794493,13738,76.731456658,1654.0,9.6493786827,45749,21.849657916,19.617915146,294,0.6426369975,278,0.6076635555,225,0.4918140287,15,0.0327876019,1065,2.327919736,43284,94.611904085,221,0.5124281209,50.243721174,32274.0,69.126970528,21686,17775,8261,1578,22435.0,4040,8095,10320,6594,1356,2180,124,578,2254,323,1312,1587,18.6,7.6,12.9,17.6,22.4,14.5,7.6,4.7,0.3,2.7,10.4,1.8,7.4,3.4,0.6816,0.6078,0.6434,0.5068,0.6469,0.533,0.4839,0.4107,0.3696,0.326,0.134,0.2502,0.1471,0.4804,0.4779,0.4776,0.7182,0.7176,0.6855,0.4995
09/30/2021,41061,39,Union County,OR,42.0,11282,11271.0,49.0,10761,51.3,4158,72.1,97.8,12548.0,46.8,12528.0,54.5,11889.0,56.7,4435.0,76.9,C,11.0,11.0,12.0,12.0,Non-metro,7.0,7.0,8.0,8.0,Oregon,Union,45.3102522065624,-118.008824803133,25758,2036.91857721843,12.6455717415934,359.0,7210.9607558,15.698398488,4.1438339924,4.6082335315,7.2120038722,16.122620627,38.2,7.2,20.8,84.833773497,18.146008075,7.0,20.0,35.0,122.0,465.3,18.196202532,1596.0,7.8193131155,19.0,72.45824,16.0,60.46635,80.0,302.33173,3296.0,40.0,30.0,85.71,3578,5853,61.131043909,644.0,11935.0,5.3958944282,17.9,93968.0,20772.0,4.5237820142,1812.0,5608.0,32.310984308,44,16.779803219,35.5,137.35200805,109.0,83.684578237,6.4,False,17.786561265,14.014014014,3.2608695652,1.1363636364,75.469976273,10958.0,16.8,79.037053266,359.0,363.00036249,14.0,59.908425692,,,12.410912159,14.573414679,9.7,15.0,68.7,3820,14.8,2140.9727262,8.3151030224,11.0,13.964707376,26.0,14.312294261,28.940758833,1362.0,9.2527173913,252.0,4.2303172738,128.49099,,,,50616.0,50.869674817,47.942507238,18.400142563,,24.0,16.462024905,18.0,13.819471636,30.384615385,95.051907065,6714,64.058773018,1154.0,11.457505957,26461,22.504818412,20.173084917,174,0.6575715204,330,1.2471184007,328,1.2395601073,348,1.3151430407,1296,4.8977740826,23423,88.518952421,168,0.6870041711,50.273988133,10839.0,42.096473513,11510,10119,4655,788,25458.0,1257,4745,5696,4259,801,2652,152,797,1695,331,635,812,18.6,6.6,7.4,18.4,22.1,16.7,7.9,10.3,0.6,6.9,14.7,3.3,6.3,3.2,0.6816,0.4616,0.411,0.1178,0.4069,0.6151,0.4343,0.6183,0.4174,0.5565,0.3725,0.4486,0.3961,0.8023,0.631,0.8131,0.5645,0.6905,0.936,0.5998
09/30/2021,55123,39,Vernon County,WI,48.9,15062,15062.0,58.8,14149,62.0,5366,87.2,97.0,15937.0,51.7,15937.0,62.3,14895.0,65.3,5533.0,89.9,B,7.0,8.0,8.0,8.0,Non-metro,7.0,8.0,8.0,8.0,Wisconsin,Vernon,43.5938797139072,-90.8344186819636,30442,791.558972409238,38.458284298572,344.0,5710.877233,13.751157835,3.6854982022,3.7810358191,5.2596089009,17.199406674,31.8,8.2,18.3,65.670238135,23.589541673,11.0,22.0,50.0,64.0,208.1,8.4994138335,2586.0,10.553809738,32.0,104.03459,12.0,38.98002,44.0,142.92675,3194.0,44.0,35.0,95.93220339,3426,6109,56.081191684,448.0,15559.0,2.8793624269,21.3,94070.0,21190.0,4.4393581878,1422.0,7928.0,17.936427851,40,13.004323938,17.0,59.375163718,89.0,58.084137157,8.7,True,15.322921064,9.2720306513,3.2503165893,5.6986070072,78.764044944,13350.0,37.6,80.427707886,344.0,284.54514398,17.0,53.269827343,,,10.972947091,12.045299175,10.7,9.0,36.2,3180,10.5,1823.0265767,6.123086611,,,28.0,13.095432968,32.006194324,1786.0,10.652511034,825.0,10.187700667,61.71837,19.530754597,3.1375582359,3.0618262418,51692.0,40.019569472,,41.883404856,,18.0,11.211885902,13.0,8.4841998094,2.1875,63.707933419,9292,76.920529801,1297.0,11.232354724,30785,26.048400195,19.525743057,146,0.4742569433,93,0.3020951762,144,0.4677602729,8,0.0259866818,484,1.5721942504,29627,96.238427806,217,0.7640038024,49.657300633,25513.0,85.691734122,13807,11843,4882,501,24414.0,2441,5618,7908,3511,699,1090,281,406,1301,386,1074,434,16.3,3.6,11.9,18.5,26.0,11.6,5.9,3.6,1.0,2.9,9.4,3.3,9.1,1.4,0.5387,0.1127,0.4865,0.4403,0.3757,0.6243,0.88,0.1614,0.1433,0.3337,0.0614,0.5852,0.2897,0.5119,0.4323,0.8122,0.8472,0.3282,0.7208,0.404
