Date,FIPS,County,State,Vaccination_Complete_Pct,Metro_status,Social Vulnerability Index (SVI),SVI Category,lat,long
09/30/2021,49057,Weber County,UT,47.1,Metro,0.43,Moderate Concern,41.26982202953594,-111.91339509429424
09/30/2021,16027,Canyon County,ID,34.4,Metro,0.74,High Concern,43.62513686554448,-116.7093125890369
09/30/2021,18171,Warren County,IN,40.4,Non-metro,0.08,Very Low Concern,40.346937181849086,-87.35330188803933
09/30/2021,27007,Beltrami County,MN,50.1,Non-metro,0.78,High Concern,47.97375422574804,-94.93765105507488
09/30/2021,8041,El Paso County,CO,52.6,Metro,0.39,Low Concern,38.832103441396725,-104.52546027890772
09/30/2021,54085,Ritchie County,WV,19.1,Non-metro,0.36,Low Concern,39.17825796134736,-81.0629795607957
09/30/2021,47001,Anderson County,TN,47.7,Metro,0.61,High Concern,36.1184532128386,-84.19845816615089
09/30/2021,5007,Benton County,AR,43.9,Metro,0.27,Low Concern,36.33872438847401,-94.25619693381994
09/30/2021,46009,Bon Homme County,SD,44.7,Non-metro,0.24,Low Concern,42.98846678306624,-97.88462060449169
09/30/2021,26059,Hillsdale County,MI,33.2,Non-metro,0.5,Moderate Concern,41.88778448980544,-84.59294121082296
09/30/2021,41061,Union County,OR,42.0,Non-metro,0.67,High Concern,45.31024619404154,-118.00879734104352
09/30/2021,55123,Vernon County,WI,48.9,Non-metro,0.38,Low Concern,43.59387226348324,-90.83441066225475
09/30/2021,30059,Meagher County,MT,44.3,Non-metro,0.05,Very Low Concern,46.598199766756125,-110.88569072047314
09/30/2021,39035,Cuyahoga County,OH,56.0,Metro,0.68,High Concern,41.42447411868614,-81.6586409545816
09/30/2021,55129,Washburn County,WI,56.6,Non-metro,0.11,Very Low Concern,45.89922933523567,-91.7912207758298
09/30/2021,37083,Halifax County,NC,43.9,Non-metro,0.96,Very High Concern,36.25744662391024,-77.65173465817115
09/30/2021,20173,Sedgwick County,KS,43.1,Metro,0.54,Moderate Concern,37.68476831641511,-97.46098502204742
09/30/2021,45081,Saluda County,SC,26.3,Metro,0.79,High Concern,34.006095774084585,-81.72689929289723
09/30/2021,26077,Kalamazoo County,MI,52.7,Metro,0.41,Moderate Concern,42.24546050037149,-85.53118545999637
09/30/2021,27075,Lake County,MN,58.8,Non-metro,0.11,Very Low Concern,47.64092760386808,-91.44572875496092
